"_Antwort-ID";"Resume-Code";"Start";"Datum und Zeit";"Teilnahmestatus";"1. Mein Geschlecht definiere ich als";"2. Mein Lebensalter in Jahren ist...";"3. Das Bundesland, in dem ich Standard-Arbeitsanweisungen oder Muster-Algorithmen durchführe ist...";"Baden-Württemberg";"Bayern";"Berlin";"Brandenburg";"Bremen";"Hamburg";"Hessen";"Mecklenburg-Vorpommern";"Niedersachsen";"Nordrhein-Westfalen";"Rheinland-Pfalz";"Saarland";"Sachsen";"Sachsen-Anhalt";"Schleswig-Holstein";"Thüringen";"4. Meine rettungsdienstliche Beschäftigung beträgt...";"5. Meine rettungsdienstliche Tätigkeit beträgt...";"6. Ich gehöre zu einer der folgenden Berufsgruppen:";"7. In der Regel werden im bundesdeutschen Rettungsdienst Standard-Arbeitsanweisungen bzw. Muster-Algorithmen beschrieben und zur Anwendung vorgegeben.  Wie sehr setzten Sie diese genau so (1:1) in realen Einsatzsituationen um?";"8. In welchen Einsatzsituationen konnten Sie die Standard-Arbeitsanweisungen bzw. Muster-Algorithmen nicht genau so (1:1) umsetzen?";"9. Was denken Sie?  Welche Faktoren waren für die Umsetzung der Standard-Arbeitsanweisungen bzw. Muster-Algorithmen in realen Einsatzsituationen eher hinderlich?";"10. In welchen Einsatzsituationen konnten Sie die Standard-Arbeitsanweisungen bzw. Muster-Algorithmen genau so (1:1) umsetzen?";"11. Was denken Sie?  Welche Faktoren waren für die Umsetzung der Standard-Arbeitsanweisungen bzw. Muster-Algorithmen in realen Einsatzsituationen eher hilfreich?";"12. Was ist Ihnen in Bezug zu der Umsetzung von Standard-Arbeitsanweisungen bzw. Muster-Algorithmen in realen Einsatzsituationen noch wichtig mitzuteilen?";
"60868414";"dc16812";"18.09.2019 14:27";"18.09.2019 14:33";"teilgenommen und beendet";"männlich";"zwischen 31 und 40";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Teilzeit (weniger als 50%)";"mehr als 5 Jahre";"Notärzte / Notärztinnen";"60";"Internistisch multimorbide Patienten.";"Multimorbidität";"Trauma, junge Patienten, wenig Vorerkrankungen";"Qualitätssteigerung der breiten Masse, Rückfallebene und „Doppelcheck“";"Sinnvolle Algorithmen mit hoher Übersichtlichkeit, gute Schulung und Implementierung der Neuerungen. Re-Evaluation durch Anwender.";
"60868499";"002ff69";"18.09.2019 14:28";"18.09.2019 14:30";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 21 und 30";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"Vollzeit (100%)";"mehr als 5 Jahre";"Notfallsanitäter/-innen";"90";"";"";"";"";"";
"60868513";"ba462c9";"18.09.2019 14:29";"18.09.2019 14:38";"teilgenommen und beendet";"weiblich";"zwischen 31 und 40";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"Vollzeit (100%)";"mehr als 5 Jahre";"Notfallsanitäter/-innen";"80";"Patient passt nicht in das geforderte Schema oder nicht eindeutige Symptomatik, Einsatzsituatuationen erfordern Flexibilität,";"Notarztruf trotz Besserung, Sprachbarrieren, Vorgaben zu detailliert, anders arbeitende Kollegen";"Arbeit mit nfs Auszubildenden, klassische Symptomatik, gut eingespieltes und geschultes Team";"Üben üben üben, klare und gute Kommunikation , kooperativer patient";"Nicht jeder Patient passt in diesen Rahmen,";
"60868674";"c03b01c";"18.09.2019 14:34";"18.09.2019 14:34";"teilgenommen, aber noch nicht beendet";"";"zwischen 21 und 30";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"Teilzeit (50% und mehr)";"weniger als 3 Jahre";"Notfallsanitäter/-innen";"";"";"";"";"";"";
"60868947";"7c1c081";"18.09.2019 14:42";"18.09.2019 14:43";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 41 und 50";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"Vollzeit (100%)";"mehr als 5 Jahre";"Notfallsanitäter/-innen";"";"";"";"";"";"";
"60869031";"959353a";"18.09.2019 14:44";"18.09.2019 14:45";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 31 und 40";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"Vollzeit (100%)";"mehr als 5 Jahre";"Notfallsanitäter/-innen";"";"";"";"";"";"";
"60869085";"46c8aca";"18.09.2019 14:46";"18.09.2019 14:48";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 41 und 50";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"Teilzeit (50% und mehr)";"mehr als 5 Jahre";"Rettungsassistenten/-innen";"90";"";"";"";"";"";
"60869308";"0c07976";"18.09.2019 14:53";"18.09.2019 14:54";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 31 und 40";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"Vollzeit (100%)";"mehr als 5 Jahre";"Notfallsanitäter/-innen";"90";"Bei der Gabe von Novalgin";"";"";"";"";
"60869337";"665137c";"18.09.2019 14:54";"18.09.2019 14:54";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 31 und 40";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Vollzeit (100%)";"mehr als 5 Jahre";"Rettungssanitäter /-innen";"";"";"";"";"";"";
"60869345";"9442ab4";"18.09.2019 14:54";"18.09.2019 14:55";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 21 und 30";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Vollzeit (100%)";"mehr als 5 Jahre";"Notfallsanitäter/-innen";"";"";"";"";"";"";
"60869353";"a01a5d2";"18.09.2019 14:54";"18.09.2019 14:55";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 31 und 40";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"Vollzeit (100%)";"mehr als 5 Jahre";"Notfallsanitäter/-innen";"";"";"";"";"";"";
"60869479";"2678ffb";"18.09.2019 14:58";"18.09.2019 15:09";"teilgenommen und beendet";"männlich";"zwischen 41 und 50";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"Vollzeit (100%)";"mehr als 5 Jahre";"Notärzte / Notärztinnen";"30";"Nahezu immer";"Beschränkungen durch ärztliche Leitungen., Ängstlichkeit des Rettungsdienstpersonals vor dienstlichen Konsequenzen, Fehlende Motivation und Leistungsbereitschaft des Personals";"Nahezu nie";"Keine";"Weitgehende Freigabe ALLER SAA durch ärztliche Leitungen, übergreifend ÜBERALL., Starke regionale Unterschiede in der Versorgungsqualität muss vermieden werden.";
"60869520";"c9b460a";"18.09.2019 14:59";"18.09.2019 15:00";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 41 und 50";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Vollzeit (100%)";"mehr als 5 Jahre";"Notfallsanitäter/-innen";"";"";"";"";"";"";
"60869716";"4fde9f7";"18.09.2019 15:04";"18.09.2019 15:05";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 41 und 50";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Vollzeit (100%)";"mehr als 5 Jahre";"Notfallsanitäter/-innen";"";"";"";"";"";"";
"60869777";"69c66f4";"18.09.2019 15:06";"18.09.2019 15:07";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 21 und 30";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Teilzeit (weniger als 50%)";"mehr als 5 Jahre";"Notfallsanitäter/-innen";"";"";"";"";"";"";
"60869848";"401e5b2";"18.09.2019 15:08";"18.09.2019 15:08";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 21 und 30";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Teilzeit (weniger als 50%)";"mehr als 5 Jahre";"Notärzte / Notärztinnen";"";"";"";"";"";"";
"60870079";"de5a7d6";"18.09.2019 15:12";"18.09.2019 15:14";"teilgenommen, aber noch nicht beendet";"";"zwischen 31 und 40";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"Teilzeit (50% und mehr)";"mehr als 5 Jahre";"Notfallsanitäter/-innen";"";"";"";"";"";"";
"60870136";"7e51f51";"18.09.2019 15:14";"18.09.2019 15:15";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 18 und 20";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"Vollzeit (100%)";"weniger als 3 Jahre";"Rettungssanitäter /-innen";"";"";"";"";"";"";
"60870205";"c8effd8";"18.09.2019 15:15";"18.09.2019 15:18";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 21 und 30";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"Vollzeit (100%)";"zwischen 3 und 5 Jahren";"Notfallsanitäter/-innen";"80";"";"";"";"";"";
"60870219";"1be850a";"18.09.2019 15:16";"18.09.2019 15:17";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 41 und 50";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"Vollzeit (100%)";"mehr als 5 Jahre";"Notfallsanitäter/-innen";"";"";"";"";"";"";
"60870448";"3f1dbc3";"18.09.2019 15:23";"18.09.2019 15:24";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 31 und 40";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"Teilzeit (weniger als 50%)";"mehr als 5 Jahre";"Notfallsanitäter/-innen";"80";"Die beschriebenen Standardsituationen liegen häufig nicht exakt vor, sodass daran orientierend gesrbeitet wird.";"Rechtliche Bedenken seitens Anwender und ÄLRD";"";"";"";
"60870647";"66236f7";"18.09.2019 15:29";"18.09.2019 15:30";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 21 und 30";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"Vollzeit (100%)";"mehr als 5 Jahre";"Notfallsanitäter/-innen";"";"";"";"";"";"";
"60870689";"4106cce";"18.09.2019 15:30";"18.09.2019 15:31";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 21 und 30";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"Vollzeit (100%)";"mehr als 5 Jahre";"Notfallsanitäter/-innen";"";"";"";"";"";"";
"60870821";"53cb390";"18.09.2019 15:33";"18.09.2019 15:35";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 21 und 30";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"Vollzeit (100%)";"weniger als 3 Jahre";"Rettungshelfer/-innen";"";"";"";"";"";"";
"60870862";"8a72933";"18.09.2019 15:35";"18.09.2019 15:35";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 31 und 40";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"Vollzeit (100%)";"mehr als 5 Jahre";"Notfallsanitäter/-innen";"60";"";"";"";"";"";
"60870906";"8bdc25c";"18.09.2019 15:35";"18.09.2019 15:44";"teilgenommen und beendet";"männlich";"zwischen 21 und 30";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"Vollzeit (100%)";"mehr als 5 Jahre";"Notfallsanitäter/-innen";"30";"Die SAA sind teilweise so stark vom ÄLRD begrenzt worden, dass diese, wenn überhaupt nur in 1% der Einsätze greifen. Man ist weit von den Landes- oder Bundesüblichen Standards entfernt.";"Fehlende Schulungen auf Stadt-/regioneigene Algorithmen und Hürden durch ÄLRD, die sie nicht mehr praktikabel machen.";"Reanimation und Polytrauma sind somit die einzigen SAAs, die halbwegs vernünftig umgesetzt werden.";"Die Umstellung der Notsan Ausbildung auf das SAA Konzept war hilfreich. Jetzt müssen aber noch RettSan und Co nachziehen.";"Es muss dringend Bundeseinheitlich geregelt sein, es darf nicht mehr jeder ÄLRD nach seiner eigenen Auffassung diese anpassen. Es kann nicht, dass man in Metropolen, wie z.B. dem Ruhrgebiet, in einem 15 km Radius bis zu 8 unterschiedliche SAAs für den selben Einsatz hat.";
"60871035";"eba3f0d";"18.09.2019 15:38";"18.09.2019 15:39";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 31 und 40";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"Vollzeit (100%)";"mehr als 5 Jahre";"Rettungsassistenten/-innen";"";"";"";"";"";"";
"60871284";"feb7d64";"18.09.2019 15:45";"18.09.2019 15:49";"teilgenommen und beendet";"männlich";"zwischen 31 und 40";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"Vollzeit (100%)";"mehr als 5 Jahre";"Notfallsanitäter/-innen";"80";"Im Einzelfall Dosierungsangaben (bspw. Analgesie oder Sedierung) nicht ausreichend.";"Starre Algoithmusführung. Kein Raum für klinische Entscheidungen.";"Fast alle";"Als Übergangslösung für die erweiterten Maßnahmen ja, mittelfristig sollte an einem eigenen klinischen Kompetenzrahmen gearbeitet werden.";"";
"60871387";"78dd190";"18.09.2019 15:47";"18.09.2019 15:48";"teilgenommen, aber noch nicht beendet";"";"zwischen 31 und 40";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Vollzeit (100%)";"mehr als 5 Jahre";"Notfallsanitäter/-innen";"30";"";"";"";"";"";
"60871597";"ef6209b";"18.09.2019 15:52";"18.09.2019 15:53";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 21 und 30";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"Vollzeit (100%)";"mehr als 5 Jahre";"Rettungsassistenten/-innen";"";"";"";"";"";"";
"60871717";"48b9d7e";"18.09.2019 15:55";"18.09.2019 15:56";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 31 und 40";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"Teilzeit (weniger als 50%)";"mehr als 5 Jahre";"Notfallsanitäter/-innen";"";"";"";"";"";"";
"60871763";"14e3ed6";"18.09.2019 15:55";"18.09.2019 15:57";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 41 und 50";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Teilzeit (weniger als 50%)";"mehr als 5 Jahre";"Notfallsanitäter/-innen";"0";"In BW gibt es keine SOPs oder SAAs daher alles rechtfertigender Notstand, Massnahmen entsprechend dem Stand der Wissenschaft.";"";"";"";"";
"60871891";"50819b4";"18.09.2019 15:59";"18.09.2019 16:00";"teilgenommen, aber noch nicht beendet";"weiblich";"zwischen 21 und 30";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"Vollzeit (100%)";"mehr als 5 Jahre";"Notfallsanitäter/-innen";"";"";"";"";"";"";
"60872180";"4cd90b6";"18.09.2019 16:06";"18.09.2019 16:07";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 31 und 40";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"Vollzeit (100%)";"mehr als 5 Jahre";"Notfallsanitäter/-innen";"80";"";"";"";"";"";
"60872290";"093266a";"18.09.2019 16:08";"18.09.2019 16:12";"teilgenommen und beendet";"männlich";"zwischen 31 und 40";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"Vollzeit (100%)";"zwischen 3 und 5 Jahren";"Rettungsassistenten/-innen";"70";"Keine Ahnung.";"Keine Ahnung";"Rea";"Keine Ahnung";"Keine Ahnung";
"60872305";"e5c6375";"18.09.2019 12:21";"18.09.2019 16:18";"teilgenommen und beendet";"männlich";"zwischen 31 und 40";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"Vollzeit (100%)";"mehr als 5 Jahre";"Notfallsanitäter/-innen";"70";"Akute Schmerztherapie, schwere Brüche mit 1g Paracetamol als einzige Möglichkeit nach den SAA in Düsseldorf, Ketanest ist nicht vorgesehen!, NA nachgefordert, 15 Minuten Zeitfenster, zum RTW gelaufen und Ketanest aus dem Schrank geholt und erfolgreich gegeben";"Keine Einheitlichkeit zwischen BPR und SAA des ÄLRD, rechtliche Unklarheiten";"Kollikartige Schmerzen mit Buscopan antherapiert, vom NA anschließend übernommen und fortgeführt, Hypertonie mit Kopfschmerzen und Schwindel mit 10mg Urapidil";"Ursprünglich die Einheitlichkeit, Reduktion auf die wichtigen Nebenwirkungen, Kontraindikationen und Wechselwirkungen";"Gabe von BTM durch NotSan wie in Bayern, min. Bundesland einheitliche SAA und Medifreigabe sowohl in Ausbildung und Einsatz";
"60872358";"2dd9fea";"18.09.2019 16:11";"18.09.2019 16:23";"teilgenommen und beendet";"männlich";"zwischen 31 und 40";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"Vollzeit (100%)";"mehr als 5 Jahre";"Notfallsanitäter/-innen";"0";"Es wir was völlig eigenes an Algorithmen frei gegeben, ich um Kreis von ca. 60km , Gibt es eine vollständige Freigabe des Hessen Algorithmus.";"Noch immer zu viele Ärztliche Leiter die sich gegen die Algorithmen entscheiden,  ob wohl es funktioniert!";"Keine";"Jeder der Algorithmen ist hilfreich und bei Anwendung auch gut zu führen!";"Die ÄLRD sollte ein stärkerre Verpflichtung das in ihren RD Bereichen auch um zu setzten. , Kein eigene wilde Algorithmen mit homöopathische Maßnahmen...";
"60872651";"5045d8b";"18.09.2019 16:16";"18.09.2019 16:24";"teilgenommen und beendet";"männlich";"zwischen 31 und 40";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"Vollzeit (100%)";"mehr als 5 Jahre";"Notfallsanitäter/-innen";"50";"Kinder, Sprachbarriere, fehlende Eigen und Fremdanamnese. Alte Multimorbide Menschen";"Multimorbide, alter, kind";"Klassiker, ACS , Hypertonie, Trauma";"Ausreichend Zeit, Anamnese und Sampler, Azubi / 3 Person zur Hand";"Die Kürze zur Klinik 5 min Hindert manchmal das abarbeiten der SAA in der City";
"60872954";"7ac331c";"18.09.2019 16:27";"18.09.2019 16:28";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 41 und 50";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"Teilzeit (50% und mehr)";"mehr als 5 Jahre";"Notfallsanitäter/-innen";"";"";"";"";"";"";
"60872975";"36c6472";"18.09.2019 16:28";"18.09.2019 16:37";"teilgenommen und beendet";"männlich";"zwischen 51 und 60";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"Vollzeit (100%)";"mehr als 5 Jahre";"Notfallsanitäter/-innen";"50";"Standardarbeitsanweisungen werden begonnen, durch Eintreffen NA von diesem weitergeführt. , Freigaben abhängig vom ÄLRD.";"Situationen, die nicht einfach nach Standard abgearbeitet werden. Erfahrung im RD spielt eine große Rolle. Es hilft auf der einen Seite, muss aber nicht immer richtig sein.";"REANIMATON";"Eine Kombination aus Algorithmen,  Erfahrung und Bauchgefühl.";"Bitte nicht nur einfach nur weil der erste Eindruck in eine Richtung geht, den Überblick verlieren bzw. nicht zum ' Fachidioten' werden.";
"60873078";"734bd58";"18.09.2019 16:30";"18.09.2019 16:31";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 21 und 30";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"Vollzeit (100%)";"mehr als 5 Jahre";"Notfallsanitäter/-innen";"";"";"";"";"";"";
"60873195";"4a30aea";"18.09.2019 16:33";"18.09.2019 16:34";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 21 und 30";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"Vollzeit (100%)";"mehr als 5 Jahre";"Notfallsanitäter/-innen";"";"";"";"";"";"";
"60873213";"508fec8";"18.09.2019 16:33";"18.09.2019 16:34";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 21 und 30";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"Teilzeit (50% und mehr)";"mehr als 5 Jahre";"Rettungsassistenten/-innen";"";"";"";"";"";"";
"60873306";"ab5ea0d";"18.09.2019 16:36";"18.09.2019 16:37";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 21 und 30";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Vollzeit (100%)";"zwischen 3 und 5 Jahren";"Notfallsanitäter/-innen";"";"";"";"";"";"";
"60873642";"c0934b8";"18.09.2019 16:45";"18.09.2019 16:46";"teilgenommen, aber noch nicht beendet";"";"zwischen 41 und 50";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"Teilzeit (50% und mehr)";"mehr als 5 Jahre";"Rettungssanitäter /-innen";"";"";"";"";"";"";
"60873877";"acc83a1";"18.09.2019 16:51";"18.09.2019 16:52";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 31 und 40";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Vollzeit (100%)";"mehr als 5 Jahre";"Rettungsassistenten/-innen";"";"";"";"";"";"";
"60874137";"59b6cd3";"18.09.2019 16:58";"18.09.2019 16:59";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 31 und 40";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"Teilzeit (weniger als 50%)";"mehr als 5 Jahre";"Rettungsassistenten/-innen";"";"";"";"";"";"";
"60874209";"e0ca1a2";"18.09.2019 17:00";"18.09.2019 17:10";"teilgenommen und beendet";"männlich";"zwischen 21 und 30";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"Teilzeit (50% und mehr)";"mehr als 5 Jahre";"Notfallsanitäter/-innen";"90";"In der Zusammenarbeit mit Notärzten, da vor allem ältere Ärzte und 'Nicht-Anästhesisten' als Notarzt oft immer noch völlig frei von  gängigen Algorithmen arbeiten und nach wie vor die Meinung vertreten, dass der Ärztliche Leiter nur dem nichtärztlichen Personal weisungsbefugt sei (was so nicht stimmt aber nunmal deren Meinung ist)";"Die hohe Hemmschwelle ältere RD Kollegen 'das hatten wir noch nie und  brauchen wir auch nicht' und die massive Blockadehaltung einzelner Notärzte die gezielt die anfangs wenigen NFS eingeschüchtert und mit schriftlichen  Beschwerden überhäuft haben. , , Auch einzelne Wachleiter älterer Generation haben massiven Druck in den ersten 3 Jahren ausgeübt.";"In all denen, in denen der RTW allein alarmiert war und der Zustand des Patienten eine 1:1 Unsetzung zulassen., , Abweichungen sind bei uns (RKISH) in begründeten Fällen ausdrücklich erlaubt.";"Eine standardisierte Arbeitsweise und die Installation eines verantwortlichen ärztlichen Leiters.";"Das die Anwendund ständiges Training und hohe Fachkompetenz des Anwenders und eine volle 'Rückendeckung' durch den Träger/Arbeitgeber und den ÄLRD voraus setzt.";
"60874353";"13605d1";"18.09.2019 17:03";"18.09.2019 17:04";"teilgenommen, aber noch nicht beendet";"ohne Angabe";"zwischen 21 und 30";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"Vollzeit (100%)";"zwischen 3 und 5 Jahren";"Notfallsanitäter/-innen";"";"";"";"";"";"";
"60874704";"94e283e";"18.09.2019 17:13";"18.09.2019 17:13";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 51 und 60";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"Vollzeit (100%)";"mehr als 5 Jahre";"Notfallsanitäter/-innen";"";"";"";"";"";"";
"60874756";"5a1e6d8";"18.09.2019 17:14";"18.09.2019 17:20";"teilgenommen und beendet";"männlich";"zwischen 41 und 50";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"Vollzeit (100%)";"mehr als 5 Jahre";"Notfallsanitäter/-innen";"80";"Bei dynamischen Einsatzsituationen";"Stringente Vorgaben bei sich verändernden Situationen";"Hauptsächlich bei internistischen Notfällen";"Arbeitsabläufe werden strukturiert";"Die Arbeitsabläufe müssen bundesweit vereinheitlicht werden, vor allem bei der Medikamentengabe";
"60874849";"ca139ae";"18.09.2019 17:16";"18.09.2019 17:17";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 21 und 30";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Vollzeit (100%)";"zwischen 3 und 5 Jahren";"Notfallsanitäter/-innen";"";"";"";"";"";"";
"60874898";"a522183";"18.09.2019 17:18";"18.09.2019 17:19";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 31 und 40";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"Vollzeit (100%)";"mehr als 5 Jahre";"Notfallsanitäter/-innen";"";"";"";"";"";"";
"60874947";"1692a5e";"18.09.2019 17:19";"18.09.2019 17:20";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 21 und 30";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"Vollzeit (100%)";"weniger als 3 Jahre";"Notfallsanitäter/-innen";"";"";"";"";"";"";
"60875165";"a4ebb88";"18.09.2019 17:25";"18.09.2019 17:26";"teilgenommen und beendet";"männlich";"zwischen 51 und 60";"";"";"";"";"";"";"";"";"";"";"1";"1";"";"";"";"";"";"Vollzeit (100%)";"mehr als 5 Jahre";"Notfallsanitäter/-innen";"70";".";".";".";".";"";
"60875244";"7b66b0e";"18.09.2019 17:27";"18.09.2019 17:28";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 31 und 40";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"Vollzeit (100%)";"mehr als 5 Jahre";"Notfallsanitäter/-innen";"";"";"";"";"";"";
"60875428";"9da13f6";"18.09.2019 17:31";"18.09.2019 17:31";"teilgenommen, aber noch nicht beendet";"";"zwischen 21 und 30";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"Vollzeit (100%)";"zwischen 3 und 5 Jahren";"Notfallsanitäter/-innen";"";"";"";"";"";"";
"60875573";"42653df";"18.09.2019 17:35";"18.09.2019 17:40";"teilgenommen und beendet";"männlich";"zwischen 41 und 50";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"Vollzeit (100%)";"mehr als 5 Jahre";"Notfallsanitäter/-innen";"40";"Stets. Unterschiede bestehen zwischen den in NRW verabschiedeten SAA/BPR und den lokal freigegebenen Maßnahmen";"Uneinheitliche und fehlende Ausbildungs- und Kommunikationskonzepte für Rettungsfachpersonal, Notärzte und Kliniken";"Hypoglykämie, Apoplex, vor allem aber in traumatischen Einsätzen.";"Einheitliches Training - siehe hier einheitliche Traumakonzepte und Flickenteppich Internistische Versorgung.";"Bei uns hängt alles am ÄLRD und dieser handelt oft politisch und nicht einheitlich zielführend.";
"60875917";"1f5d004";"18.09.2019 17:19";"18.09.2019 17:47";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 21 und 30";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Vollzeit (100%)";"mehr als 5 Jahre";"Rettungsassistenten/-innen";"";"";"";"";"";"";
"60876036";"245ec5a";"18.09.2019 17:50";"18.09.2019 17:54";"teilgenommen und beendet";"männlich";"zwischen 51 und 60";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"Vollzeit (100%)";"mehr als 5 Jahre";"Notfallsanitäter/-innen";"100";"Nie";"Gar keine";"Analgesie NEF nicht verfügbar";"Kein NA verfügbar";"";
"60876121";"76c741b";"18.09.2019 17:53";"18.09.2019 17:54";"teilgenommen, aber noch nicht beendet";"weiblich";"zwischen 31 und 40";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"60876490";"6f30cbf";"18.09.2019 18:06";"18.09.2019 18:08";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 41 und 50";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Vollzeit (100%)";"mehr als 5 Jahre";"Notfallsanitäter/-innen";"";"";"";"";"";"";
