"_Antwort-ID";"Resume-Code";"Start";"Datum und Zeit";"Teilnahmestatus";"1. Mein Geschlecht...";"2. Mein Lebensalter in Jahren ist...";"3. Das Bundesland in dem ich Prüfungen durchführe ist...";"Baden-Württemberg";"Bayern";"Berlin";"Brandenburg";"Bremen";"Hamburg";"Hessen";"Mecklenburg-Vorpommern";"Niedersachsen";"Nordrhein-Westfalen";"Rheinland-Pfalz";"Saarland";"Sachsen";"Sachsen-Anhalt";"Schleswig-Holstein";"Thüringen";"4. Meine Beschäftigungszeit als Prüfer/in beträgt...";"5. Mein Beschäftigungsverhältnis ist...";"Angestellte/r in der Verwaltung";"Beamte/r in der Verwaltung";"Angestellte/r in einer Rettungsdienstschule";"Honorarkraft";"Textfeld";"6. Meine höchste medizinische Qualifikation ist...";"keine medizinische Qualifikation";"Rettungsassistent/in";"Notfallsanitäter/in";"(Not-) ärztliche Qualifiaktion";"Textfeld";"7. Meine höchste pädagogische Qualifikation ist...";"keine pädagogische Qualifikation";"Lehrrettungsassistent/in";"Praxisanleitende Notfallsanitäter/in";"Bildungswissenschaftler/in, Pädagoge/in, Erziehungswissenschaftler/in";"Textfeld";"8. Meine Tätigkeit als Prüfer/in beträgt...";"9. Die Anzahl meiner Prüfungen ist...";"Ergänzungsprüfungen";"Vollprüfungen";"10. Ich bin als Vorsitz einer Prüfungskommission eingesetzt...";"11. Die Ergänzungsprüfung empfinde ich als...";"12. Den Schwierigkeitsgrad der Ergänzungsprüfungen empfinde ich als...";"13. Den zeitlichen Rahmen der Ergänzungsprüfungen empfinde ich als...";"14. Die inhaltliche Vorbereitung auf die Ergänzungsprüfungen empfinde ich als...";"15. Die methodische Vorbereitung auf die Ergänzungsprüfungen empfinde ich als...";"16. Meine Anmerkungen zur Vorbereitung und Durchführung der Ergänzungsprüfungen...";"17. Die Vollprüfungen empfinde ich als...";"18. Den Schwierigkeitsgrad der Vollprüfungen empfinde ich als...";"19. Den zeitlichen Rahmen der Vollprüfungen empfinde ich als...";"20. Die inhaltliche Vorbereitung auf die Vollprüfungen empfinde ich als...";"21. Die methodische Vorbereitung auf die Vollprüfungen empfinde ich als...";"22. Meine Anmerkungen zur Vorbereitung und Durchführung der Vollprüfung...";"23. Nicht bestanden wurden die Ergänzungsprüfungen in den Prüfungsteilen...";"Mündliche Prüfung";"Praktische Prüfung Teil internistische Notfälle";"Praktische Prüfung Teil traumatologische Notfälle";"24. Nicht bestanden wurden die Vollprüfungen in den Prüfungsteilen...";"Schriftliche Prüfung Teil 1";"Schriftliche Prüfung Teil 2";"Schriftliche Prüfung Teil 3";"Mündliche Prüfung";"Praktische Prüfung Teil Reanimation";"Praktische Prüfung Teil internistische Notfälle";"Praktische Prüfung Teil traumatologische Notfälle";"Praktische Prüfung Teil sonstige Notfälle";"25. Welche Gründe haben Ihrer Meinung nach zum Nichtbestehen von Prüfungen geführt?";"26. Nach absolvierter Prüfung erlebe ich die/der/das...";"Fachwissen";"Gewichtung";"Struktur";"Gewichtung";"Verantwortung";"Gewichtung";"Können";"Gewichtung";"Pflichtgefühl";"Gewichtung";"Sorgfalt";"Gewichtung";"Ansehen";"Gewichtung";"-";"Gewichtung";"Zeit zu knapp";"Gewichtung";"Angaben in diesem Abschnitt sich nur auf die Ergänzungsprüfung";"Gewichtung";
"97242188";"nsggkg9";"21.10.2023 14:43";"21.10.2023 14:44";"teilgenommen, aber noch nicht beendet";"";"zwischen 31 und 40";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"97243453";"u7srcpv";"21.10.2023 17:57";"21.10.2023 18:05";"teilgenommen und beendet";"männlich";"zwischen 31 und 40";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"Teilzeit (weniger als 50%)";"";"";"1";"";"";"";"";"";"";"1";"";"";"";"";"";"1";"";"";"zwischen 1 und weniger als 5 Jahren";"";"1";"3";"nein";"0";"20";"50";"70";"40";"";"30";"80";"20";"10";"20";"";"";"";"";"1";"";"";"";"";"";"";"";"1";"";"Stress des Schülers in Kombination mit schlechter Umsetzung in der Praxis an der jeweiligen Rettungswache";"";"4";"33%";"3";"0%";"2";"67%";"2";"67%";"2";"67%";"2";"67%";"2";"67%";"";"";"";"";"";"";
"97251195";"q7ev9dd";"23.10.2023 01:07";"23.10.2023 01:12";"teilgenommen und beendet";"";"zwischen 41 und 50";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"Teilzeit (weniger als 50%)";"";"";"";"";"1";"";"";"";"";"1";"";"Praxisanleiterin";"";"";"";"";"";"Im Studium";"zwischen 10 und weniger als 15 Jahren";"";"30";"12";"nein";"0";"20";"10";"80";"80";"";"0";"10";"10";"10";"10";"";"";"1";"";"";"";"";"";"";"1";"";"";"";"";"Körper und Zusammenhänge zu den Erkrankungen wurden nicht verstanden!";"";"3";"33%";"3";"100%";"2";"100%";"3";"67%";"3";"67%";"3";"33%";"3";"33%";"";"";"";"";"";"";
"97257226";"9wajy3j";"23.10.2023 15:17";"23.10.2023 15:26";"teilgenommen und beendet";"männlich";"zwischen 21 und 30";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"Teilzeit (weniger als 50%)";"";"";"";"";"1";"";"";"";"";"1";"";"";"";"";"";"1";"";"";"weniger als 1 Jahr";"";"0";"2";"nein";"50";"50";"50";"50";"50";"Keine Aussage möglich, da ich an keiner teilgenommen habe";"20";"30";"30";"80";"80";"";"";"";"";"";"";"";"";"1";"1";"1";"1";"1";"1";"Mangelhafte Vorbereitung durch Schule und Betrieb, sowie auch unzureichende Vorbereitung durch die Auszubildenden. Durchfallquote von fast 50 % im gesamten Jahrgang. Vorbereitung durch einzelne Rettungswachen 0., Verbal auch durch Auszubildende: das habe ich halt nicht gelernt und gehofft, dass es nicht dran kommt";"";"1";"100%";"3";"67%";"3";"100%";"3";"67%";"4";"67%";"4";"0%";"3";"33%";"";"";"";"";"";"";
"97265856";"jv3rcx7";"24.10.2023 06:37";"24.10.2023 06:46";"teilgenommen und beendet";"";"zwischen 31 und 40";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Vollzeit (100%)";"";"";"";"1";"";"";"";"";"";"1";"";"";"";"";"";"";"1";"";"zwischen 5 und weniger als 10 Jahren";"";"30";"5";"nein";"80";"0";"20";"90";"50";"Das Verhältnis der vorgeschriebenen Vorbereitungszeit in Abhängigkeit von der Berufserfahrung/Dauer der Berufsausübung war nicht an das Bild der Realität angepasst., , Gerade die langjährigen RettAss hätten von einer umfangreicheren Schulungsmaßnahme profitieren können und zumeist auch wollen";"10";"80";"10";"10";"10";"";"";"1";"1";"1";"";"1";"1";"1";"1";"1";"1";"1";"1";"Überwiegend entweder schlechte Vorbereitung oder Prüfungsangst";"";"2";"67%";"3";"67%";"3";"100%";"3";"";"3";"67%";"4";"67%";"4";"67%";"";"";"";"";"3";"67%";
"97402330";"7rvxzig";"05.11.2023 15:24";"05.11.2023 15:36";"teilgenommen und beendet";"weiblich";"zwischen 31 und 40";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"Teilzeit (50% und mehr)";"";"1";"";"";"";"";"";"";"";"1";"";"";"";"";"";"1";"";"";"zwischen 1 und weniger als 5 Jahren";"";"4";"12";"nein";"70";"50";"30";"80";"80";"";"30";"40";"30";"30";"20";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Vollprüfung schriftl. Examen: unverständliche Fragestellung, wurde nicht ausreichend mit Prüflingen kommuniziert, Erwartungshorizont nur Schlagworte geben Punkte, Prakt. Prüfungen: nur kleiner Teil Nervosität, viel durch Prüfungskünstlichkeit, keine Darstellung sondern Vorstellung, falscher Umgang der Prüfer mit Fehlerkultur, Erwartungshaltung der Prüfenden abweichend von Leistung der SuS";"";"3";"67%";"3";"33%";"4";"33%";"3";"67%";"2";"100%";"2";"67%";"3";"33%";"";"";"";"";"";"";
"97798642";"nd3fswz";"11.12.2023 00:29";"11.12.2023 00:30";"teilgenommen, aber noch nicht beendet";"ohne Angabe";"zwischen 41 und 50";"";"";"";"1";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"97852417";"fcsy4ci";"13.12.2023 22:37";"13.12.2023 22:45";"teilgenommen und beendet";"weiblich";"zwischen 31 und 40";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"Teilzeit (weniger als 50%)";"";"";"";"1";"";"";"";"";"";"1";"";"";"";"";"";"1";"";"Cand. B.A. Med.Päd";"weniger als 1 Jahr";"";"0";"1";"nein";"50";"50";"50";"50";"50";"";"0";"60";"30";"20";"20";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"Fehlende Basismaßnahmen !!!, Keine Priorisietung des Problems /Herausstellen des Leitsymptoms bei Nichterkennnen der Notfallsituation";"";"3";"";"4";"33%";"1";"100%";"3";"";"3";"";"1";"100%";"4";"33%";"";"";"";"";"";"";
"97991935";"ifs9xgs";"03.01.2024 22:38";"03.01.2024 22:41";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 21 und 30";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"weniger als 1 Jahr";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"98264288";"zvbx74b";"01.02.2024 15:15";"01.02.2024 15:16";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 51 und 60";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
