"_Antwort-ID";"Resume-Code";"Start";"Datum und Zeit";"Teilnahmestatus";"1. Hatten Sie bisher schon Kontakt mit dem Rettungsdienst?";"2. Wie alt sind Sie?";"3. In welcher beruflichen Situation befinden Sie sich?";"4. Auf welche Art und Weise hatten Sie Kontakt mit dem Rettungsdienst?";"5. In welcher Situation haben Sie den Rettungsdienst erlebt?";"6. Wie lange hat der Rettungsdienst aus Ihrer Erinnerung heraus vom Anruf/ Notruf bis zum Eintreffen gebraucht?";"7. Im folgenden Abschnitt können Sie die Fragen mit 'trifft voll zu' bis 'trifft gar nicht zu' beantworten. Die Fragen zielen dabei auf ihre persönliche Wahrnehmung des Einsatzgeschehens &amp; -personals ab.";"Ich habe mich beim Personal sehr gut aufgehoben gefühlt.";"Das Anliegen wurde vom Personal ernst genommen.";"Das Personal war stets freundlich und höflich.";"Das Personal war geduldig.";"Das Personal machte einen fachlich-kompetenten Eindruck auf mich.";"Ich wurde durch den Rettungsdienst gut beraten.";"Man konnte die Krankenhauswahl beeinflussen.";"Das Erscheinungsbild des Rettungsdienstes war gepflegt.";"Mein Gesamteindruck vom Rettungsdienstpersonal war sehr gut.";
"48952926";"ecdea29";"06.09.2018 14:50";"06.09.2018 14:53";"teilgenommen und beendet";"ja";"18-30";"Auszubildender";"Patient";"Notfalleinsatz";"0-5 Min.";"";"1";"1";"1";"1";"1";"1";"3";"1";"1";
"48952946";"cfc769d";"06.09.2018 14:51";"06.09.2018 14:52";"teilgenommen, aber noch nicht beendet";"ja";"18-30";"Akademiker";"Patient";"Notfalleinsatz";"5-10 Min.";"";"1";"1";"1";"1";"1";"1";"";"2";"5";
"48952956";"c396a91";"06.09.2018 14:51";"06.09.2018 15:01";"teilgenommen und beendet";"ja";"18-30";"Angestellter";"Zeuge";"Notfalleinsatz";"5-10 Min.";"";"2";"1";"1";"3";"1";"1";"3";"2";"2";
"48952962";"0783fc3";"06.09.2018 14:51";"06.09.2018 14:53";"teilgenommen und beendet";"ja";"18-30";"Schüler/ Student";"Anrufer";"Notfalleinsatz";"0-5 Min.";"";"2";"3";"3";"3";"2";"3";"5";"3";"3";
"48952978";"340f948";"06.09.2018 14:52";"06.09.2018 14:53";"teilgenommen, aber noch nicht beendet";"ja";"30-55";"Angestellter";"Patient";"Krankentransport";"10-15 Min.";"";"2";"2";"";"";"";"";"";"";"";
"48952995";"b5da5a5";"06.09.2018 14:52";"06.09.2018 14:54";"teilgenommen und beendet";"ja";"18-30";"Schüler/ Student";"Angehöriger";"Hilfeleistung";"0-5 Min.";"";"3";"1";"3";"3";"1";"3";"1";"1";"3";
"48953005";"93c3460";"06.09.2018 14:52";"06.09.2018 14:54";"teilgenommen und beendet";"ja";"18-30";"Schüler/ Student";"Angehöriger";"Notfalleinsatz";"0-5 Min.";"";"1";"1";"1";"1";"1";"1";"2";"1";"1";
"48953012";"114b849";"06.09.2018 14:53";"06.09.2018 14:55";"teilgenommen und beendet";"ja";"18-30";"Angestellter";"Berufsalltag";"Notfalleinsatz";"0-5 Min.";"";"1";"1";"1";"1";"1";"1";"1";"1";"1";
"48953038";"c3e0d90";"06.09.2018 14:54";"06.09.2018 14:56";"teilgenommen und beendet";"ja";"18-30";"Schüler/ Student";"Angehöriger";"Notfalleinsatz";"5-10 Min.";"";"1";"1";"3";"2";"1";"1";"3";"1";"3";
"48953060";"c1a5b03";"06.09.2018 14:54";"06.09.2018 14:56";"teilgenommen und beendet";"ja";"18-30";"Schüler/ Student";"Patient";"Hilfeleistung";"5-10 Min.";"";"3";"3";"2";"1";"3";"5";"5";"2";"3";
"48953070";"af59245";"06.09.2018 14:55";"06.09.2018 14:57";"teilgenommen und beendet";"ja";"18-30";"Schüler/ Student";"Patient";"Notfalleinsatz";"5-10 Min.";"";"1";"2";"1";"1";"2";"2";"1";"1";"1";
"48953079";"8009d1d";"06.09.2018 14:55";"06.09.2018 14:56";"teilgenommen und beendet";"ja";"18-30";"Schüler/ Student";"Angehöriger";"Notfalleinsatz";"0-5 Min.";"";"1";"1";"1";"1";"1";"1";"1";"1";"1";
"48953089";"6d8d5ee";"06.09.2018 14:55";"06.09.2018 14:58";"teilgenommen und beendet";"ja";"18-30";"Schüler/ Student";"Patient";"Notfalleinsatz";"5-10 Min.";"";"1";"1";"1";"1";"1";"2";"4";"2";"2";
"48953094";"1b0ecd9";"06.09.2018 14:56";"06.09.2018 14:57";"teilgenommen und beendet";"ja";"18-30";"Schüler/ Student";"Patient";"Notfalleinsatz";"5-10 Min.";"";"1";"3";"1";"1";"2";"1";"5";"1";"2";
"48953098";"f15b9b7";"06.09.2018 14:56";"06.09.2018 14:57";"teilgenommen, aber noch nicht beendet";"ja";"18-30";"Akademiker";"Zeuge";"Notfalleinsatz";"5-10 Min.";"";"";"";"";"";"";"";"";"";"";
"48953116";"d0d60f1";"06.09.2018 14:56";"06.09.2018 15:46";"teilgenommen und beendet";"ja";"18-30";"Beamter";"Zeuge";"Notfalleinsatz";"5-10 Min.";"";"2";"2";"2";"2";"1";"2";"4";"2";"1";
"48953121";"368d5cd";"06.09.2018 14:56";"06.09.2018 14:59";"teilgenommen und beendet";"ja";"18-30";"Schüler/ Student";"Ehrenamtlich";"Notfalleinsatz";"5-10 Min.";"";"3";"4";"3";"3";"3";"2";"5";"3";"2";
"48953125";"5268f7a";"06.09.2018 14:57";"06.09.2018 15:03";"teilgenommen und beendet";"ja";"18-30";"Angestellter";"Feuerwehrmann";"Notfalleinsatz";"5-10 Min.";"";"3";"2";"4";"1";"4";"4";"5";"3";"3";
"48953132";"8818b1e";"06.09.2018 14:57";"06.09.2018 14:58";"teilgenommen und beendet";"ja";"30-55";"Angestellter";"Patient";"Notfalleinsatz";"10-15 Min.";"";"5";"5";"5";"5";"3";"5";"5";"5";"5";
"48953145";"a555632";"06.09.2018 14:57";"06.09.2018 15:21";"teilgenommen und beendet";"ja";"18-30";"Angestellter";"Anrufer";"Sanitätsdienst/ Veranstaltung";"5-10 Min.";"";"1";"1";"1";"1";"1";"1";"2";"1";"1";
"48953158";"226323b";"06.09.2018 14:57";"06.09.2018 14:59";"teilgenommen, aber noch nicht beendet";"nein";"30-55";"Angestellter";"";"";"";"";"";"";"";"";"";"";"";"";"";
"48953161";"8492a7b";"06.09.2018 14:57";"06.09.2018 14:59";"teilgenommen und beendet";"ja";"18-30";"Schüler/ Student";"Ersthelfer";"Notfalleinsatz";"5-10 Min.";"";"2";"2";"2";"2";"3";"3";"4";"2";"3";
"48953164";"4f04b6d";"06.09.2018 14:57";"06.09.2018 14:59";"teilgenommen und beendet";"ja";"18-30";"Angestellter";"Anrufer";"Notfalleinsatz";"5-10 Min.";"";"2";"3";"3";"3";"2";"2";"5";"1";"2";
"48953183";"f3bba53";"06.09.2018 14:58";"06.09.2018 15:00";"teilgenommen, aber noch nicht beendet";"ja";"18-30";"Angestellter";"Angehöriger";"Notfalleinsatz";"5-10 Min.";"";"";"";"";"";"";"";"";"";"";
"48953214";"12aaa3c";"06.09.2018 14:59";"06.09.2018 15:01";"teilgenommen und beendet";"ja";"30-55";"Akademiker";"Angehöriger";"Notfalleinsatz";"0-5 Min.";"";"3";"2";"2";"3";"2";"3";"5";"3";"2";
"48953227";"8556b14";"06.09.2018 14:59";"06.09.2018 15:00";"teilgenommen und beendet";"ja";"30-55";"Angestellter";"Angehöriger";"Notfalleinsatz";"5-10 Min.";"";"2";"2";"2";"2";"2";"2";"2";"2";"2";
"48953229";"2e9bcf6";"06.09.2018 14:59";"06.09.2018 15:02";"teilgenommen und beendet";"ja";"18-30";"Schüler &amp; als Aushilfe im Schwimmbad für die Beckenaufsicht";"Patienten, Anrufer";"Notfalleinsatz";"5-10 Min.";"";"2";"2";"2";"2";"1";"2";"3";"1";"2";
"48953249";"67053bf";"06.09.2018 15:00";"06.09.2018 15:01";"teilgenommen und beendet";"ja";"30-55";"Angestellter";"Patient";"Krankentransport";"5-10 Min.";"";"2";"2";"2";"2";"2";"3";"5";"1";"2";
"48953251";"e43c547";"06.09.2018 15:00";"06.09.2018 15:03";"teilgenommen und beendet";"ja";"18-30";"Schüler/ Student";"Rettungshelfer";"Notfalleinsatz";"0-5 Min.";"";"2";"1";"1";"1";"1";"2";"5";"1";"2";
"48953272";"e70e5d9";"06.09.2018 15:00";"06.09.2018 15:02";"teilgenommen und beendet";"ja";"18-30";"Schüler/ Student";"Angehöriger eines Mitarbeiters im Rettungsdienst";"Krankentransport";"";"";"3";"3";"2";"3";"4";"4";"3";"1";"3";
"48953281";"f8beab0";"06.09.2018 15:00";"06.09.2018 15:01";"teilgenommen, aber noch nicht beendet";"ja";"30-55";"Angestellter";"Zeuge";"Notfalleinsatz";"0-5 Min.";"";"";"";"";"";"";"";"";"";"";
"48953300";"ed81452";"06.09.2018 15:01";"06.09.2018 15:02";"teilgenommen, aber noch nicht beendet";"ja";"18-30";"Schüler/ Student";"Zeuge";"Notfalleinsatz";"";"";"";"";"";"";"";"";"";"";"";
"48953301";"05d1d5a";"06.09.2018 15:01";"06.09.2018 15:03";"teilgenommen und beendet";"ja";"30-55";"Beamter";"Anrufer";"Notfalleinsatz";"5-10 Min.";"";"2";"2";"2";"2";"2";"2";"5";"2";"2";
"48953364";"1816fa9";"06.09.2018 15:03";"06.09.2018 15:05";"teilgenommen und beendet";"ja";"18-30";"Angestellter";"Angehöriger";"Notfalleinsatz";"10-15 Min.";"";"4";"3";"3";"3";"2";"2";"5";"2";"3";
"48953376";"b31db3f";"06.09.2018 15:04";"06.09.2018 15:06";"teilgenommen und beendet";"ja";"18-30";"Handwerker";"Angehöriger";"Notfalleinsatz";"0-5 Min.";"";"1";"2";"2";"1";"1";"2";"1";"2";"1";
"48953399";"5fba55d";"06.09.2018 15:04";"06.09.2018 15:07";"teilgenommen und beendet";"ja";"30-55";"Angestellter";"Anrufer";"Notfalleinsatz";"10-15 Min.";"";"2";"2";"1";"1";"2";"2";"4";"1";"2";
"48953416";"3d79f4f";"06.09.2018 15:05";"06.09.2018 15:07";"teilgenommen und beendet";"ja";"18-30";"Schüler/ Student";"Angehöriger";"Notfalleinsatz";"5-10 Min.";"";"1";"1";"2";"2";"2";"2";"1";"1";"1";
"48953427";"44232cc";"06.09.2018 15:05";"06.09.2018 15:07";"teilgenommen und beendet";"ja";"18-30";"Schüler/ Student";"Ehrenamtlicher Sanitäter";"Sanitätsdienst/ Veranstaltung";"10-15 Min.";"";"2";"1";"2";"2";"2";"1";"2";"2";"1";
"48953457";"cd3c6a4";"06.09.2018 15:06";"06.09.2018 15:07";"teilgenommen, aber noch nicht beendet";"nein";"18-30";"Schüler/ Student";"Nachbar";"Hilfeleistung";"5-10 Min.";"";"";"";"";"";"";"";"";"";"";
"48953488";"d427c41";"06.09.2018 15:07";"06.09.2018 15:09";"teilgenommen und beendet";"ja";"18-30";"Hausfrau/Mutter";"Patient";"Notfalleinsatz";"5-10 Min.";"";"2";"1";"3";"2";"2";"4";"5";"1";"2";
"48953517";"32b9622";"06.09.2018 15:08";"06.09.2018 15:09";"teilgenommen und beendet";"ja";"18-30";"Schüler/ Student";"Anrufer";"Notfalleinsatz";"5-10 Min.";"";"3";"4";"4";"4";"2";"3";"5";"1";"3";
"48953547";"dda189c";"06.09.2018 15:09";"06.09.2018 15:10";"teilgenommen und beendet";"ja";"18-30";"Schüler/ Student";"Anrufer";"Notfalleinsatz";"5-10 Min.";"";"1";"1";"1";"1";"1";"1";"1";"1";"1";
"48953557";"766f885";"06.09.2018 15:09";"06.09.2018 15:12";"teilgenommen und beendet";"ja";"30-55";"Akademiker";"Patient";"Hilfeleistung";"&gt,15 Min.";"";"1";"2";"2";"2";"2";"3";"5";"1";"2";
"48953562";"af084ba";"06.09.2018 15:09";"06.09.2018 15:11";"teilgenommen und beendet";"ja";"18-30";"Angestellter";"Angehöriger";"Notfalleinsatz";"0-5 Min.";"";"2";"1";"1";"2";"1";"1";"4";"1";"2";
"48953574";"3a1c1ca";"06.09.2018 15:09";"06.09.2018 15:11";"teilgenommen und beendet";"ja";"18-30";"Schüler/ Student";"Angehöriger";"Notfalleinsatz";"5-10 Min.";"";"2";"2";"2";"2";"1";"2";"3";"2";"2";
"48953581";"5fad931";"06.09.2018 15:09";"06.09.2018 15:12";"teilgenommen und beendet";"ja";"18-30";"Schüler/ Student";"Patient";"Notfalleinsatz";"5-10 Min.";"";"2";"4";"3";"2";"1";"3";"3";"2";"2";
"48953596";"1649ef9";"06.09.2018 15:10";"06.09.2018 15:12";"teilgenommen und beendet";"ja";"18-30";"FSj'lerin";"Patient";"Notfalleinsatz";"5-10 Min.";"";"1";"1";"1";"1";"1";"1";"2";"1";"1";
"48953608";"1b642a3";"06.09.2018 15:10";"06.09.2018 15:12";"teilgenommen, aber noch nicht beendet";"ja";"18-30";"Schüler/ Student";"Zeuge";"Notfalleinsatz";"";"";"";"";"";"";"";"";"";"";"";
"48953613";"e1540b4";"06.09.2018 15:10";"06.09.2018 15:14";"teilgenommen und beendet";"ja";"18-30";"Auszubildende";"Mitarbeiter";"Sanitätsdienst/ Veranstaltung";"5-10 Min.";"";"1";"1";"1";"1";"1";"1";"1";"1";"1";
"48953628";"3be61c2";"06.09.2018 15:11";"06.09.2018 15:13";"teilgenommen und beendet";"ja";"18-30";"Schüler/ Student";"Patient";"Notfalleinsatz";"0-5 Min.";"";"1";"1";"1";"1";"1";"1";"1";"1";"1";
"48953638";"1c9dcb1";"06.09.2018 15:11";"06.09.2018 15:13";"teilgenommen und beendet";"nein";"18-30";"Schüler/ Student";"Noch gar nicht";"Noch gar nicht";"";"";"3";"3";"3";"3";"3";"3";"3";"3";"3";
"48953653";"ff9ef1d";"06.09.2018 15:12";"06.09.2018 15:13";"teilgenommen und beendet";"ja";"18-30";"Angestellter";"Anrufer";"Notfalleinsatz";"5-10 Min.";"";"1";"2";"2";"1";"1";"1";"2";"1";"1";
"48953694";"1f4345d";"06.09.2018 15:13";"06.09.2018 15:14";"teilgenommen, aber noch nicht beendet";"ja";"18-30";"Handwerker";"Angehöriger";"Sanitätsdienst/ Veranstaltung";"";"";"";"";"";"";"";"";"";"";"";
"48953706";"61b4eb2";"06.09.2018 15:13";"06.09.2018 15:16";"teilgenommen und beendet";"ja";"30-55";"Angestellter";"Angehöriger";"Notfalleinsatz";"5-10 Min.";"";"1";"1";"1";"1";"1";"1";"2";"1";"1";
"48953713";"665a5c4";"06.09.2018 15:14";"06.09.2018 15:16";"teilgenommen und beendet";"ja";"30-55";"Angestellter";"Angehöriger";"Notfalleinsatz";"5-10 Min.";"";"2";"2";"2";"3";"2";"3";"3";"2";"2";
"48953733";"66670ee";"06.09.2018 15:14";"06.09.2018 15:16";"teilgenommen und beendet";"ja";"30-55";"Hausfrau";"Angehöriger";"Notfalleinsatz";"10-15 Min.";"";"1";"1";"1";"1";"1";"1";"1";"1";"1";
"48953760";"3738d0a";"06.09.2018 15:15";"06.09.2018 15:19";"teilgenommen und beendet";"ja";"30-55";"Handwerker";"Patient";"Notfalleinsatz";"5-10 Min.";"";"1";"2";"2";"2";"1";"2";"2";"2";"1";
"48953769";"f7eaa86";"06.09.2018 15:15";"06.09.2018 15:21";"teilgenommen und beendet";"ja";"18-30";"Schüler/ Student";"Patient";"Notfalleinsatz";"10-15 Min.";"";"1";"1";"2";"2";"2";"3";"5";"2";"2";
"48953796";"e0364f7";"06.09.2018 15:17";"06.09.2018 15:18";"teilgenommen, aber noch nicht beendet";"ja";"18-30";"Schüler/ Student";"Mitglied in der Freiwilligen Feuerwehr";"zusammen im Einsatz";"5-10 Min.";"";"";"";"";"";"";"";"";"";"";
"48953805";"784c166";"06.09.2018 15:17";"06.09.2018 15:22";"teilgenommen und beendet";"ja";"18-30";"Angestellter";"Arbeit im Krankenhaus";"Notfalleinsatz";"5-10 Min.";"";"2";"2";"2";"2";"2";"2";"4";"2";"2";
"48953810";"1f96f4e";"06.09.2018 15:17";"06.09.2018 15:18";"teilgenommen, aber noch nicht beendet";"ja";"18-30";"Angestellter";"Angehöriger";"Notfalleinsatz";"5-10 Min.";"";"4";"5";"3";"4";"";"";"";"";"";
"48953828";"f99b894";"06.09.2018 15:18";"06.09.2018 15:29";"teilgenommen und beendet";"ja";"18-30";"Schüler/ Student";"Patient";"Notfalleinsatz";"5-10 Min.";"";"1";"1";"1";"3";"1";"2";"5";"1";"2";
"48953854";"4fec52e";"06.09.2018 15:19";"06.09.2018 16:07";"teilgenommen und beendet";"ja";"18-30";"Schüler/ Student";"Anrufer";"Notfalleinsatz";"5-10 Min.";"";"2";"2";"2";"2";"3";"3";"5";"3";"4";
"48953874";"d25b9c1";"06.09.2018 15:19";"06.09.2018 15:24";"teilgenommen und beendet";"nein";"18-30";"Handwerker";"Zusammen Arbeit";"Alles";"0-5 Min.";"";"1";"1";"1";"1";"2";"2";"2";"1";"1";
"48953896";"6c60455";"06.09.2018 15:20";"06.09.2018 15:21";"teilgenommen, aber noch nicht beendet";"ja";"18-30";"Schüler/ Student";"Anrufer";"Notfalleinsatz";"0-5 Min.";"";"";"";"";"";"";"";"";"";"";
"48953911";"8e3146c";"06.09.2018 15:20";"06.09.2018 15:22";"teilgenommen und beendet";"ja";"18-30";"selbstständig";"Patient";"Notfalleinsatz";"5-10 Min.";"";"2";"3";"1";"1";"1";"2";"5";"1";"2";
"48953917";"d78b6d9";"06.09.2018 15:21";"06.09.2018 15:22";"teilgenommen, aber noch nicht beendet";"ja";"18-30";"Schüler/ Student";"Zeuge";"Notfalleinsatz";"5-10 Min.";"";"";"";"";"";"";"";"";"";"";
"48953925";"3fade9a";"06.09.2018 15:21";"06.09.2018 15:22";"teilgenommen, aber noch nicht beendet";"ja";"18-30";"Auszubildender";"Zeuge";"Sanitätsdienst/ Veranstaltung";"&gt,15 Min.";"";"";"";"";"";"";"";"";"";"";
"48953938";"36a103a";"06.09.2018 15:21";"06.09.2018 15:24";"teilgenommen und beendet";"ja";"55-70";"selbstständig";"Anrufer";"Notfalleinsatz";"5-10 Min.";"";"1";"1";"2";"2";"1";"2";"2";"1";"1";
"48953945";"de05a30";"06.09.2018 15:21";"06.09.2018 15:23";"teilgenommen und beendet";"ja";"18-30";"Mutter";"Patient";"Krankentransport";"0-5 Min.";"";"3";"2";"3";"1";"1";"2";"5";"1";"1";
"48953971";"c9457c8";"06.09.2018 15:23";"06.09.2018 15:25";"teilgenommen und beendet";"ja";"30-55";"Angestellter";"Angehöriger";"Notfalleinsatz";"5-10 Min.";"";"2";"1";"2";"2";"2";"4";"5";"2";"2";
"48954101";"9ecc755";"06.09.2018 15:27";"06.09.2018 15:28";"teilgenommen, aber noch nicht beendet";"ja";"18-30";"Schüler/ Student";"Mitarbeiter";"Notfalleinsatz";"0-5 Min.";"";"";"";"";"";"";"";"";"";"";
"48954206";"547435b";"06.09.2018 15:30";"06.09.2018 15:32";"teilgenommen, aber noch nicht beendet";"nein";"18-30";"Schüler/ Student";"";"";"5-10 Min.";"";"";"";"";"";"";"";"";"";"";
"48954210";"6e266b7";"06.09.2018 15:30";"06.09.2018 15:34";"teilgenommen und beendet";"ja";"18-30";"Schüler/ Student";"Anrufer";"Sanitätsdienst/ Veranstaltung";"5-10 Min.";"";"3";"2";"3";"2";"3";"3";"2";"1";"3";
"48954234";"b2477f6";"06.09.2018 15:32";"06.09.2018 15:33";"teilgenommen und beendet";"ja";"18-30";"Schüler/ Student";"Patient";"Notfalleinsatz";"5-10 Min.";"";"1";"1";"1";"1";"1";"1";"1";"1";"1";
"48954245";"e24d68e";"06.09.2018 15:32";"06.09.2018 15:34";"teilgenommen und beendet";"ja";"18-30";"Schüler/ Student";"Anrufer, Zeuge, Patient";"Notfalleinsatz";"10-15 Min.";"";"2";"2";"2";"1";"2";"3";"5";"2";"2";
"48954307";"be81ced";"06.09.2018 15:35";"06.09.2018 15:37";"teilgenommen und beendet";"ja";"18-30";"ungelernt/ arbeitslos";"Angehöriger";"Notfalleinsatz";"5-10 Min.";"";"1";"1";"1";"1";"1";"2";"5";"1";"1";
"48954344";"4f94fa6";"06.09.2018 15:36";"06.09.2018 15:41";"teilgenommen und beendet";"ja";"18-30";"Angestellter";"Patient";"Notfalleinsatz";"5-10 Min.";"";"1";"1";"1";"1";"1";"1";"1";"1";"1";
"48954349";"a6f6664";"06.09.2018 15:36";"06.09.2018 15:38";"teilgenommen und beendet";"ja";"30-55";"Angestellter";"Angehöriger";"Notfalleinsatz";"10-15 Min.";"";"2";"2";"1";"1";"1";"2";"5";"2";"2";
"48954351";"6e38d18";"06.09.2018 15:36";"06.09.2018 15:38";"teilgenommen und beendet";"ja";"18-30";"Angestellter";"Angehöriger";"Notfalleinsatz";"5-10 Min.";"";"1";"1";"1";"2";"3";"2";"2";"1";"1";
"48954366";"e30bba6";"06.09.2018 15:37";"06.09.2018 15:39";"teilgenommen und beendet";"ja";"30-55";"Rettungsdienst";"Arbeiter";"Notfalleinsatz";"10-15 Min.";"";"1";"1";"2";"2";"1";"1";"1";"1";"1";
"48954416";"e47bcbc";"06.09.2018 15:38";"06.09.2018 15:40";"teilgenommen und beendet";"ja";"18-30";"Akademiker";"Im Feuerwehreinsatz";"Notfalleinsatz";"0-5 Min.";"";"2";"2";"1";"1";"1";"1";"2";"2";"2";
"48954433";"ccf4af9";"06.09.2018 15:39";"06.09.2018 15:41";"teilgenommen und beendet";"ja";"18-30";"Schüler/ Student";"Anrufer";"Notfalleinsatz";"5-10 Min.";"";"2";"2";"2";"3";"1";"3";"4";"3";"2";
"48954452";"f30d4c9";"06.09.2018 15:40";"06.09.2018 15:41";"teilgenommen und beendet";"ja";"18-30";"Schüler/ Student";"Anrufer";"Notfalleinsatz";"5-10 Min.";"";"1";"1";"1";"1";"3";"2";"3";"1";"1";
"48954458";"a54ab00";"06.09.2018 15:40";"06.09.2018 15:42";"teilgenommen und beendet";"ja";"18-30";"Schüler/ Student";"Angehöriger";"Alltag";"5-10 Min.";"";"1";"1";"2";"2";"2";"2";"2";"2";"2";
"48954462";"66d65ae";"06.09.2018 15:40";"06.09.2018 15:42";"teilgenommen und beendet";"ja";"18-30";"Schüler/ Student";"Patient";"Notfalleinsatz";"0-5 Min.";"";"1";"1";"1";"1";"1";"1";"3";"1";"1";
"48954519";"ff2145a";"06.09.2018 15:42";"06.09.2018 15:44";"teilgenommen und beendet";"ja";"18-30";"Schüler/ Student";"Angehöriger";"Notfalleinsatz";"";"";"2";"2";"3";"3";"2";"3";"3";"3";"2";
"48954599";"d6b139e";"06.09.2018 15:45";"06.09.2018 15:47";"teilgenommen und beendet";"ja";"18-30";"Schüler/ Student";"Angehöriger";"Hilfeleistung";"5-10 Min.";"";"2";"2";"2";"2";"1";"1";"3";"1";"2";
"48954614";"8bc60b3";"06.09.2018 15:45";"06.09.2018 15:47";"teilgenommen und beendet";"ja";"18-30";"Schüler/ Student";"Angehöriger";"Sanitätsdienst/ Veranstaltung";"5-10 Min.";"";"1";"2";"3";"2";"1";"1";"5";"2";"2";
"48954638";"fdbc358";"06.09.2018 15:46";"06.09.2018 15:49";"teilgenommen und beendet";"ja";"18-30";"Schüler/ Student";"Angehöriger";"Notfalleinsatz";"5-10 Min.";"";"2";"1";"3";"3";"2";"2";"4";"2";"2";
"48954646";"00b303b";"06.09.2018 15:47";"06.09.2018 15:47";"teilgenommen, aber noch nicht beendet";"ja";"18-30";"Angestellter";"Zeuge";"Notfalleinsatz";"0-5 Min.";"";"2";"2";"2";"2";"2";"2";"";"2";"2";
"48954652";"aebc184";"06.09.2018 15:47";"06.09.2018 15:49";"teilgenommen und beendet";"ja";"18-30";"Schüler/ Student";"Zeuge";"Notfalleinsatz";"10-15 Min.";"";"1";"1";"1";"2";"1";"2";"3";"1";"1";
"48954677";"8f5ef4a";"06.09.2018 15:47";"06.09.2018 15:49";"teilgenommen, aber noch nicht beendet";"nein";"18-30";"Schüler/ Student";"N";"Garnicht";"";"";"";"";"";"";"";"";"";"";"";
"48954689";"a324773";"06.09.2018 15:47";"06.09.2018 15:51";"teilgenommen und beendet";"ja";"30-55";"Lehrer";"Privat";"Sanitätsdienst/ Veranstaltung";"0-5 Min.";"";"3";"2";"3";"2";"3";"3";"5";"2";"2";
"48954732";"99e01c8";"06.09.2018 15:49";"06.09.2018 15:51";"teilgenommen und beendet";"ja";"18-30";"Schüler/ Student";"Patient";"Notfalleinsatz";"5-10 Min.";"";"1";"1";"2";"2";"1";"2";"4";"2";"1";
"48954763";"4b5cf1e";"06.09.2018 15:51";"06.09.2018 15:53";"teilgenommen und beendet";"ja";"18-30";"Schüler/ Student";"Patient";"Sanitätsdienst/ Veranstaltung";"0-5 Min.";"";"4";"4";"3";"3";"3";"4";"5";"2";"4";
"48954775";"dad66ae";"06.09.2018 15:52";"06.09.2018 15:53";"teilgenommen und beendet";"ja";"18-30";"Angestellter";"Patient";"Notfalleinsatz";"&gt,15 Min.";"";"4";"4";"4";"3";"3";"3";"5";"2";"4";
"48954778";"911542d";"06.09.2018 15:52";"06.09.2018 15:53";"teilgenommen und beendet";"ja";"18-30";"Schüler/ Student";"Zeuge";"Notfalleinsatz";"5-10 Min.";"";"1";"1";"1";"1";"1";"1";"5";"1";"1";
"48954792";"794023b";"06.09.2018 15:52";"06.09.2018 15:53";"teilgenommen und beendet";"ja";"18-30";"Schüler/ Student";"Angehöriger";"Notfalleinsatz";"5-10 Min.";"";"1";"1";"1";"1";"1";"1";"1";"1";"1";
"48954802";"603442b";"06.09.2018 15:52";"06.09.2018 15:54";"teilgenommen und beendet";"ja";"18-30";"Schüler/ Student";"Angehöriger";"Notfalleinsatz";"5-10 Min.";"";"2";"1";"2";"2";"1";"2";"3";"2";"1";
"48954820";"d5d870b";"06.09.2018 15:53";"06.09.2018 15:55";"teilgenommen und beendet";"ja";"18-30";"Schüler/ Student";"Angehöriger";"Krankentransport";"5-10 Min.";"";"2";"2";"2";"2";"2";"3";"4";"4";"2";
"48954858";"7feec49";"06.09.2018 15:54";"06.09.2018 15:58";"teilgenommen und beendet";"ja";"18-30";"Schüler/ Student";"1 Jahr Bfd als Rettungssanitäter im Rettungsdienst tätig";"Ktw unf Rtw";"5-10 Min.";"";"2";"3";"2";"3";"2";"2";"2";"2";"2";
"48954890";"5d9f821";"06.09.2018 15:55";"06.09.2018 15:58";"teilgenommen und beendet";"ja";"18-30";"Schüler/ Student";"Angehöriger";"Sanitätsdienst/ Veranstaltung";"";"";"2";"1";"3";"1";"1";"1";"2";"2";"2";
"48954930";"ed0150d";"06.09.2018 15:57";"06.09.2018 15:59";"teilgenommen und beendet";"nein";"55-70";"Angestellter";"Kein Kontakt";"Kein Kontakt";"0-5 Min.";"";"2";"2";"2";"2";"2";"2";"2";"2";"2";
"48954931";"584c46e";"06.09.2018 15:57";"06.09.2018 15:58";"teilgenommen und beendet";"ja";"18-30";"Angestellter";"Patient";"Krankentransport";"5-10 Min.";"";"1";"1";"1";"1";"1";"2";"1";"1";"2";
"48955015";"4b95176";"06.09.2018 16:00";"06.09.2018 16:01";"teilgenommen und beendet";"ja";"18-30";"Handwerker";"Patient";"Notfalleinsatz";"0-5 Min.";"";"1";"1";"1";"1";"1";"1";"3";"1";"1";
"48955025";"384aac7";"06.09.2018 15:40";"06.09.2018 16:03";"teilgenommen und beendet";"ja";"18-30";"Handwerker";"Feuerwehr - gemeinsame Einsätze";"Notfalleinsatz";"5-10 Min.";"";"2";"2";"3";"3";"2";"2";"3";"2";"2";
"48955039";"c89a821";"06.09.2018 16:00";"06.09.2018 16:02";"teilgenommen und beendet";"ja";"18-30";"Handwerker";"Anrufer";"Notfalleinsatz";"0-5 Min.";"";"2";"1";"1";"2";"1";"1";"2";"1";"1";
